,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Narsimhapur,IN,22.95,79.2,74.5,92,78,3.53,broken clouds
1,Tiznit,MA,29.5833,-9.5,67.84,70,5,7.29,clear sky
2,Hofn,IS,64.2539,-15.2082,56.21,83,100,8.93,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,23.02,clear sky
4,Champagnole,FR,46.7445,5.9135,61.48,89,100,5.73,overcast clouds
5,Surgut,RU,61.25,73.4167,62.78,100,40,6.71,fog
6,Coihaique,CL,-45.5752,-72.0662,46.35,53,75,4.61,light rain
7,Cayenne,GF,4.9333,-52.3333,86.09,77,75,5.99,broken clouds
8,La Fleche,FR,47.6982,-0.0755,67.03,62,99,17.11,overcast clouds
9,Saldanha,ZA,-33.0117,17.9442,51.85,72,100,6.42,overcast clouds
10,Port Alfred,ZA,-33.5906,26.891,59.95,85,84,14.09,broken clouds
11,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,40,13.8,scattered clouds
12,Port Elizabeth,ZA,-33.918,25.5701,61.09,88,0,10.36,clear sky
13,East London,ZA,-33.0153,27.9116,59.94,88,0,6.91,clear sky
14,Muros,ES,42.7762,-9.0603,68.85,70,2,9.55,clear sky
15,Catamarca,AR,-28.4696,-65.7852,85.05,41,0,5.99,clear sky
16,Hermanus,ZA,-34.4187,19.2345,52.81,73,100,1.21,overcast clouds
17,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,60,40,19.57,scattered clouds
18,Qaanaaq,GL,77.484,-69.3632,41.92,73,99,1.86,overcast clouds
19,Molteno,ZA,-31.3968,26.3625,48.61,21,8,6.11,clear sky
20,Rocha,UY,-34.4833,-54.3333,74.66,66,6,8.32,clear sky
21,Leh,IN,34.1667,77.5833,64.89,35,7,5.55,clear sky
22,Chuy,UY,-33.6971,-53.4616,70.57,68,13,6.06,few clouds
23,Hit,IQ,33.6416,42.8251,98.49,20,5,4.43,clear sky
24,Luderitz,NA,-26.6481,15.1594,58.73,64,2,1.16,clear sky
25,Prieska,ZA,-29.6641,22.7474,55.47,39,4,2.75,clear sky
26,Ilulissat,GL,69.2167,-51.1,43.02,66,100,6.13,overcast clouds
